loop	threshold	anger	empty_cells
0	20	0	55
1	20	-4	17
2	20	-3	17
3	20	-2	17
4	20	-1	17
5	20	0	17
6	20	1	17
7	20	2	17
8	20	3	17
9	20	4	17
10	20	5	17
11	20	6	17
12	20	7	17
13	20	8	17
14	20	9	17
15	20	10	17
16	20	11	17
17	20	12	17
18	20	13	17
19	20	14	17
20	20	15	17
21	20	16	17
22	20	17	17
23	20	18	17
24	20	19	17
25	20	20	17
26	20	21	17
27	20	17	16
28	20	18	16
29	20	14	15
30	20	15	15
31	20	16	15
32	20	12	13
33	20	8	12
34	20	4	11
35	20	5	11
36	20	6	11
37	20	7	11
38	20	8	11
39	20	9	11
40	20	10	11
41	20	11	11
42	20	12	11
43	20	13	11
44	20	14	11
45	20	15	11
46	20	16	11
47	20	17	11
48	20	18	11
49	20	19	11
50	20	20	11
51	20	21	11
52	20	22	11
53	20	23	11
54	20	24	11
55	20	25	11
56	20	26	11
57	20	27	11
58	20	28	11
59	20	24	10
60	20	25	10
61	20	26	10
62	20	27	10
63	20	28	10
64	20	29	10
65	20	30	10
66	20	31	10
67	20	32	10
68	20	33	10
69	20	34	10
70	20	35	10
71	20	36	10
72	20	37	10
73	20	38	10
74	20	39	10
75	20	40	10
76	20	41	10
77	20	42	10
78	20	43	10
79	20	44	10
80	20	45	10
81	20	46	10
82	20	47	10
83	20	48	10
84	20	49	10
85	20	50	10
86	20	51	11
87	20	52	11
88	20	53	11
89	20	54	11
90	20	55	11
91	20	56	11
92	20	57	11
93	20	58	11
94	20	59	11
95	20	60	11
96	20	61	11
97	20	62	11
98	20	63	11
99	20	64	11
100	20	65	11
101	20	66	11
102	20	67	11
103	20	68	11
104	20	69	11
105	20	70	11
106	20	71	11
107	20	72	11
108	20	73	11
109	20	74	11
110	20	75	11
111	20	76	11
112	20	77	11
113	20	73	10
114	20	74	10
115	20	75	10
116	20	76	10
117	20	77	10
118	20	78	10
119	20	79	10
120	20	75	9
121	20	76	9
122	20	77	9
123	20	78	9
124	20	79	9
125	20	80	9
126	20	81	9
127	20	82	9
128	20	83	9
129	20	84	9
130	20	85	9
131	20	86	9
132	20	87	9
133	20	88	9
134	20	89	9
135	20	90	9
136	20	91	9
137	20	92	9
138	20	93	9
139	20	94	9
140	20	95	9
141	20	96	9
142	20	97	9
143	20	98	9
144	20	99	9
145	20	100	9
146	20	101	10
147	20	102	10
148	20	103	10
149	20	104	10
150	20	105	10
151	20	106	10
152	20	107	10
153	20	108	10
154	20	109	10
155	20	110	10
156	20	111	10
157	20	112	10
158	20	113	10
159	20	114	10
160	20	115	10
161	20	116	10
162	20	117	10
163	20	118	10
164	20	119	10
165	20	120	10
166	20	121	10
167	20	122	10
168	20	123	10
169	20	124	10
170	20	125	10
171	20	126	10
172	20	127	10
173	20	128	10
174	20	129	10
175	20	130	10
176	20	131	10
177	20	132	10
178	20	133	10
179	20	134	10
180	20	135	10
181	20	136	10
182	20	137	10
183	20	138	10
184	20	139	10
185	20	140	10
186	20	141	10
187	20	142	10
188	20	143	10
189	20	144	10
190	20	145	10
191	20	146	10
192	20	147	10
193	20	148	10
194	20	149	10
195	20	150	10
196	20	151	11
197	20	152	11
198	20	153	11
199	20	154	11
200	-30	155	11
201	-30	156	11
202	-30	157	11
203	-30	158	11
204	-30	159	11
205	-30	160	11
206	-30	161	11
207	-30	162	11
208	-30	163	11
209	-30	164	11
210	-30	165	11
211	-30	166	11
212	-30	167	11
213	-30	168	11
214	-30	169	11
215	-30	170	11
216	-30	171	11
217	-30	172	11
218	-30	173	11
219	-30	174	11
220	-30	175	11
221	-30	176	11
222	-30	177	11
223	-30	178	11
224	-30	179	11
225	-30	180	11
226	-30	181	11
227	-30	182	11
228	-30	183	11
229	-30	184	11
230	-30	185	11
231	-30	186	11
232	-30	187	11
233	-30	188	11
234	-30	189	11
235	-30	190	11
236	-30	191	11
237	-30	192	11
238	-30	193	11
239	-30	194	11
240	-30	195	11
241	-30	196	11
242	-30	197	11
243	-30	198	11
244	-30	199	11
245	-30	200	11
246	-30	201	12
247	-30	202	12
248	-30	203	12
249	-30	204	12
250	-30	205	12
251	-30	206	12
252	-30	207	12
253	-30	208	12
254	-30	209	12
255	-30	210	12
256	-30	211	12
257	-30	212	12
258	-30	213	12
259	-30	214	12
260	-30	215	12
261	-30	216	12
262	-30	217	12
263	-30	218	12
264	-30	219	12
265	-30	220	12
266	-30	221	12
267	-30	222	12
268	-30	223	12
269	-30	224	12
270	-30	225	12
271	-30	226	12
272	-30	227	12
273	-30	228	12
274	-30	229	12
275	-30	230	12
276	-30	231	12
277	-30	232	12
278	-30	233	12
279	-30	234	12
280	-30	235	12
281	-30	236	12
282	-30	237	12
283	-30	238	12
284	-30	239	12
285	-30	240	12
286	-30	241	12
287	-30	242	12
288	-30	243	12
289	-30	244	12
290	-30	245	12
291	-30	246	12
292	-30	247	12
293	-30	248	12
294	-30	249	12
295	-30	250	12
296	-30	251	13
297	-30	252	13
298	-30	253	13
299	-30	254	13
300	-30	255	13
301	-30	256	13
302	-30	257	13
303	-30	258	13
304	-30	259	13
305	-30	260	13
306	-30	261	13
307	-30	262	13
308	-30	263	13
309	-30	264	13
310	-30	265	13
311	-30	266	13
312	-30	267	13
313	-30	268	13
314	-30	269	13
315	-30	270	13
316	-30	271	13
317	-30	272	13
318	-30	273	13
319	-30	274	13
320	-30	275	13
321	-30	276	13
322	-30	277	13
323	-30	278	13
324	-30	279	13
325	-30	280	13
326	-30	281	13
327	-30	282	13
328	-30	283	13
329	-30	284	13
330	-30	285	14
331	-30	286	14
332	-30	287	14
333	-30	288	14
334	-30	289	14
335	-30	290	14
336	-30	291	14
337	-30	292	14
338	-30	293	14
339	-30	294	14
340	-30	295	14
341	-30	296	14
342	-30	297	14
343	-30	298	14
344	-30	299	14
345	-30	300	14
346	-30	301	15
347	-30	302	15
348	-30	303	15
349	-30	304	15
350	-30	305	15
351	-30	306	15
352	-30	307	15
353	-30	308	15
354	-30	309	15
355	-30	310	15
356	-30	311	15
357	-30	312	15
358	-30	313	15
359	-30	314	15
360	-30	315	15
361	-30	316	15
362	-30	317	15
363	-30	318	15
364	-30	319	15
365	-30	320	15
366	-30	321	15
367	-30	322	15
368	-30	323	15
369	-30	324	15
370	-30	325	15
371	-30	326	15
372	-30	327	15
373	-30	328	15
374	-30	329	15
375	-30	330	15
376	-30	331	15
377	-30	332	16
378	-30	333	16
379	-30	334	16
380	-30	330	15
381	-30	331	15
382	-30	332	15
383	-30	333	15
384	-30	334	15
385	-30	335	15
386	-30	336	15
387	-30	337	15
388	-30	338	15
389	-30	339	15
390	-30	340	15
391	-30	341	15
392	-30	342	15
393	-30	343	15
394	-30	344	15
395	-30	345	15
396	-30	346	15
397	-30	347	15
398	-30	348	15
399	-30	349	15
400	-80	350	15
401	-80	351	16
402	-80	352	16
403	-80	353	16
404	-80	354	16
405	-80	355	16
406	-80	356	16
407	-80	357	16
408	-80	358	16
409	-80	359	16
410	-80	360	16
411	-80	361	16
412	-80	362	16
413	-80	363	16
414	-80	364	17
415	-80	365	17
416	-80	366	17
417	-80	367	17
418	-80	368	17
419	-80	369	17
420	-80	370	17
421	-80	371	17
422	-80	372	17
423	-80	373	17
424	-80	374	17
425	-80	375	17
426	-80	376	17
427	-80	377	17
428	-80	378	17
429	-80	379	17
430	-80	380	17
431	-80	381	17
432	-80	382	17
433	-80	383	17
434	-80	384	17
435	-80	385	17
436	-80	386	17
437	-80	387	17
438	-80	388	17
439	-80	384	16
440	-80	385	16
441	-80	386	16
442	-80	387	16
443	-80	388	16
444	-80	389	16
445	-80	390	16
446	-80	391	16
447	-80	392	16
448	-80	393	16
449	-80	394	16
450	-80	395	16
451	-80	396	16
452	-80	397	16
453	-80	398	16
454	-80	399	16
455	-80	400	16
456	-80	401	17
457	-80	402	17
458	-80	403	17
459	-80	404	17
460	-80	405	17
461	-80	406	17
462	-80	407	17
463	-80	408	17
464	-80	409	17
465	-80	410	17
466	-80	411	17
467	-80	412	17
468	-80	413	17
469	-80	414	17
470	-80	415	17
471	-80	416	17
472	-80	417	17
473	-80	418	17
474	-80	419	17
475	-80	420	17
476	-80	421	17
477	-80	422	17
478	-80	423	17
479	-80	424	17
480	-80	425	17
481	-80	426	17
482	-80	427	17
483	-80	428	18
484	-80	424	17
485	-80	420	16
486	-80	421	16
487	-80	422	16
488	-80	423	16
489	-80	424	16
490	-80	425	17
491	-80	426	17
492	-80	427	17
493	-80	428	17
494	-80	429	17
495	-80	425	16
496	-80	426	16
497	-80	427	16
498	-80	428	16
499	-80	429	16
500	-80	430	16
501	-80	431	16
502	-80	432	16
503	-80	433	16
504	-80	434	16
505	-80	435	16
506	-80	436	16
507	-80	437	16
508	-80	438	16
509	-80	439	16
510	-80	440	16
511	-80	441	16
512	-80	442	16
513	-80	443	16
514	-80	444	16
515	-80	445	16
516	-80	446	16
517	-80	447	16
518	-80	448	16
519	-80	449	16
520	-80	450	16
521	-80	451	17
522	-80	452	17
523	-80	453	17
524	-80	454	17
525	-80	455	17
526	-80	456	17
527	-80	457	17
528	-80	458	17
529	-80	459	17
530	-80	460	17
531	-80	461	17
532	-80	462	17
533	-80	463	17
534	-80	464	17
535	-80	465	17
536	-80	466	18
537	-80	462	17
538	-80	463	17
539	-80	464	17
540	-80	465	17
541	-80	466	17
542	-80	467	17
543	-80	468	17
544	-80	469	17
545	-80	470	17
546	-80	471	17
547	-80	472	17
548	-80	473	17
549	-80	474	17
550	-80	475	17
551	-80	476	17
552	-80	477	17
553	-80	478	17
554	-80	479	17
555	-80	480	18
556	-80	481	18
557	-80	482	18
558	-80	478	17
559	-80	479	17
560	-80	480	17
561	-80	481	17
562	-80	482	17
563	-80	483	17
564	-80	484	17
565	-80	485	17
566	-80	486	17
567	-80	487	17
568	-80	488	17
569	-80	489	17
570	-80	490	17
571	-80	491	17
572	-80	492	17
573	-80	493	17
574	-80	494	17
575	-80	495	17
576	-80	496	17
577	-80	497	17
578	-80	498	17
579	-80	499	17
580	-80	500	17
581	-80	501	18
582	-80	502	18
583	-80	503	18
584	-80	504	18
585	-80	505	18
586	-80	506	18
587	-80	507	18
588	-80	508	18
589	-80	509	18
590	-80	510	18
591	-80	511	18
592	-80	512	18
593	-80	513	18
594	-80	514	18
595	-80	515	18
596	-80	516	18
597	-80	517	18
598	-80	518	18
599	-80	519	18
600	-130	520	18
601	-130	521	18
602	-130	522	18
603	-130	523	18
604	-130	524	18
605	-130	525	18
606	-130	526	18
607	-130	527	18
608	-130	528	18
609	-130	529	18
610	-130	530	18
611	-130	531	18
612	-130	532	18
613	-130	533	18
614	-130	534	18
615	-130	535	18
616	-130	536	18
617	-130	537	18
618	-130	538	18
619	-130	539	18
620	-130	540	18
621	-130	541	20
622	-130	542	21
623	-130	543	21
624	-130	539	19
625	-130	540	19
626	-130	541	19
627	-130	542	19
628	-130	543	19
629	-130	544	19
630	-130	545	20
631	-130	546	21
632	-130	542	19
633	-130	543	20
634	-130	544	20
635	-130	545	20
636	-130	546	20
637	-130	547	20
638	-130	548	20
639	-130	544	18
640	-130	545	18
641	-130	546	19
642	-130	547	19
643	-130	548	19
644	-130	549	20
645	-130	545	19
646	-130	546	19
647	-130	547	19
648	-130	548	19
649	-130	549	19
650	-130	550	19
651	-130	551	19
652	-130	552	19
653	-130	553	19
654	-130	554	19
655	-130	555	19
656	-130	556	19
657	-130	557	19
658	-130	558	19
659	-130	559	19
660	-130	560	19
661	-130	561	19
662	-130	562	20
663	-130	558	19
664	-130	559	19
665	-130	560	19
666	-130	561	19
667	-130	562	19
668	-130	563	19
669	-130	559	18
670	-130	560	18
671	-130	561	18
672	-130	562	18
673	-130	563	19
674	-130	559	18
675	-130	560	19
676	-130	561	19
677	-130	562	19
678	-130	563	19
679	-130	564	19
680	-130	565	19
681	-130	566	19
682	-130	567	19
683	-130	568	19
684	-130	569	19
685	-130	570	19
686	-130	571	19
687	-130	572	19
688	-130	573	19
689	-130	574	19
690	-130	575	19
691	-130	576	19
692	-130	577	19
693	-130	578	19
694	-130	579	19
695	-130	580	19
696	-130	581	19
697	-130	582	19
698	-130	583	19
699	-130	579	17
700	-130	580	17
701	-130	581	17
702	-130	582	17
703	-130	583	17
704	-130	584	19
705	-130	585	19
706	-130	586	19
707	-130	587	19
708	-130	588	19
